Scenario,Flexibility,Demand,Market,Category,Cost_Type,Carrier,Value_100p_EUR,Value_100p_Billion_EUR,Value_Non_Flex_EUR,Value_Non_Flex_Billion_EUR,Difference_EUR,Difference_Billion_EUR,Difference_Percent
HMLU,H,M,L,marginal - stations,marginal,stations,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HMLU,H,M,L,marginal - water tanks,marginal,water tanks,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HMLU,H,M,L,nan - nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HMLU,H,M,L,shutdown - aluminum,shutdown,aluminum,1318352240.894873,1.318352240894873,0.0,0.0,1318352240.894873,1.318352240894873,0.0
HMLU,H,M,L,standby - aluminum,standby,aluminum,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HMLU,H,M,L,startup - aluminum,startup,aluminum,1318352240.894873,1.318352240894873,0.0,0.0,1318352240.894873,1.318352240894873,0.0
HMMU,H,M,M,capital - AC,capital,AC,7497236280.031223,7.497236280031223,7508943796.401104,7.508943796401104,-11707516.369880676,-0.011707516369880676,-0.15591428951022204
HMMU,H,M,M,capital - CHP coal,capital,CHP coal,28578083463.18228,28.57808346318228,28577634258.244293,28.57763425824429,449204.93798828125,0.00044920493798828126,0.0015718758730306418
HMMU,H,M,M,capital - CHP gas,capital,CHP gas,2986788048.635308,2.986788048635308,2986292497.489886,2.986292497489886,495551.1454219818,0.0004955511454219819,0.016594193162207487
HMMU,H,M,M,capital - DAC,capital,DAC,266204.1723853901,0.0002662041723853901,136501.5391451074,0.0001365015391451074,129702.63324028268,0.00012970263324028268,95.01917271599613
HMMU,H,M,M,capital - H2,capital,H2,6029617928.512836,6.029617928512836,6074389558.121373,6.074389558121373,-44771629.60853672,-0.04477162960853672,-0.7370556198305998
HMMU,H,M,M,capital - H2 CHP,capital,H2 CHP,877900.2393922288,0.0008779002393922287,469017.75871844887,0.00046901775871844887,408882.4806737799,0.0004088824806737799,87.1784645833063
HMMU,H,M,M,capital - OCGT gas,capital,OCGT gas,762386594.0245695,0.7623865940245695,762233733.0373966,0.7622337330373965,152860.98717296124,0.00015286098717296124,0.020054345609165216
HMMU,H,M,M,capital - PHS,capital,PHS,2825336461.717002,2.825336461717002,2825336461.717002,2.825336461717002,0.0,0.0,0.0
