Province,Year,Scenario,Demand_tons_per_second
Liaoning,2060,low,0.001228995156886041
Ningxia,2060,low,0.001980530208969901
Qinghai,2060,low,0.0040584792036360996
Shaanxi,2060,low,0.002704386457042102
Shandong,2060,low,0.011484416141731667
Shanxi,2060,low,0.002023948031140477
Sichuan,2060,low,0.0023124050578430546
Tibet,2060,low,5.698456138698073e-06
Xinjiang,2060,low,0.011680746002455592
Yunnan,2060,low,0.010053121084075122
Zhejiang,2060,low,0.0009386386121105175
Anhui,2025,low,0.0455190969506434
Chongqing,2025,low,0.010591059117643317
Fujian,2025,low,0.01761140920076717
Gansu,2025,low,0.08459336893289374
Guangdong,2025,low,0.011556116196233946
Guangxi,2025,low,0.08693231490174713
Guizhou,2025,low,0.033055827024430766
Hebei,2025,low,0.0014598680887252158
Heilongjiang,2025,low,0.004255022835305252
Henan,2025,low,0.08393011170239789
Hubei,2025,low,0.02051359844770792
Hunan,2025,low,0.03480872149599594
InnerMongolia,2025,low,0.14255292505376552
Jiangsu,2025,low,0.016509490123054395
Jiangxi,2025,low,0.04532433033451764
Jilin,2025,low,0.00233719178315911
Liaoning,2025,low,0.01589360732182968
Ningxia,2025,low,0.02561260657051367
Qinghai,2025,low,0.05248505205654391
Shaanxi,2025,low,0.03497365807657691
Shandong,2025,low,0.14851873048844771
Shanxi,2025,low,0.02617409439451504
Sichuan,2025,low,0.029904477452532587
Tibet,2025,low,7.369355664396246e-05
Xinjiang,2025,low,0.15105770689890147
Yunnan,2025,low,0.13000894102295668
Zhejiang,2025,low,0.012138659322133587
Anhui,2030,mid,0.03302885222709117
Chongqing,2030,mid,0.007684917978586638
Fujian,2030,mid,0.012778914147477406
Gansu,2030,mid,0.06138131178010681
Guangdong,2030,mid,0.008385167539206
Guangxi,2030,mid,0.06307846101960458
Guizhou,2030,mid,0.023985450045681943
Hebei,2030,mid,0.0010592865545165351
Heilongjiang,2030,mid,0.0030874628423007227
Henan,2030,mid,0.06090004948533084
Hubei,2030,mid,0.014884755128378151
Hunan,2030,mid,0.025257357801975706
InnerMongolia,2030,mid,0.10343701460610527
Jiangsu,2030,mid,0.011979356932547345
Jiangxi,2030,mid,0.032887528734013884
Jilin,2030,mid,0.0016958763948247179
Liaoning,2030,mid,0.011532469727097844
Ningxia,2030,mid,0.018584617319745905
Qinghai,2030,mid,0.03808337916691191
Shaanxi,2030,mid,0.025377036493157947
Shandong,2030,mid,0.10776582864939245
Shanxi,2030,mid,0.01899203529612538
Sichuan,2030,mid,0.021698817262984334
Tibet,2030,mid,5.34723611745071e-05
Xinjiang,2030,mid,0.10960812083633713
Yunnan,2030,mid,0.09433504592377798
Zhejiang,2030,mid,0.008807863333063902
